Player,Pos,Team,Rank,Fan Pts,Cur Team,Owner,Draft Team,Draft Owner,Rd,Pick,ADP,% Draft,GP,G,A,P,PIM,SOG,HIT,BLK,W,SV,SV%,GA,SO,% Own,Fan Pts/GP,ID
Xavier Bourgault,C,OTT,911,1.20,,,,,,,,,1,0,0,0,0,3,0,0,,,,,,,1.20,465.p.8897
Nathan Légaré,RW,NJ,912,1.20,,,,,,,,,1,0,0,0,0,0,2,1,,,,,,,1.20,465.p.8352
Artur Akhtyamov,G,TOR,913,1.00,,,,,,,,,0,,,,,,,,0,5,1.000,0,0,,,465.p.30741
Hunter Haight,C,MIN,914,0.80,,,,,,,,,2,0,0,0,0,0,2,0,,,,,,,0.40,465.p.9315
Brett Leason,RW,WSH,915,0.80,,,,,,,,,2,0,0,0,0,0,2,0,,,,,,,0.40,465.p.8334
Carson Lambos,D,MIN,916,0.80,,,,,,,,,1,0,0,0,0,1,0,1,,,,,,,0.80,465.p.8901
Dmitry Kulikov,D,FLA,917,0.80,,,,,,,,,2,0,0,0,0,1,1,0,,,,,,,0.40,465.p.4694
Daniil Miromanov,D,CGY,918,0.80,,,,,,,,,1,0,0,0,0,0,0,2,,,,,,,0.80,465.p.8857
Tristan Broz,C,PIT,919,0.80,,,,,,,,,1,0,0,0,0,2,0,0,,,,,,,0.80,465.p.30847
Jakob Pelletier,"LW,RW",TB,920,0.80,,,,,,,,,1,0,0,0,0,0,1,1,,,,,,,0.80,465.p.8304
Trevor Kuntar,C,BUF,921,0.40,,,,,,,,,1,0,0,0,0,0,1,0,,,,,,,0.40,465.p.30122
T.J. Tynan,C,COL,922,0.40,,,,,,,,,1,0,0,0,0,1,0,0,,,,,,,0.40,465.p.5433
Dennis Gilbert,D,PHI,923,0.40,,,,,,,,,1,0,0,0,0,0,0,1,,,,,,,0.40,465.p.6833
William Stromgren,LW,CGY,924,0.40,,,,,,,,,2,0,0,0,0,1,0,0,,,,,,,0.20,465.p.30900
Shane Lachance,LW,NJ,925,0.40,,,,,,,,,1,0,0,0,0,0,1,0,,,,,,,0.40,465.p.30771
Wilmer Skoog,C,FLA,926,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.31117
Eduard Sale,LW,SEA,927,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30564
Cole Eiserman,LW,NYI,928,0.00,,,,,,,,,,,,,,,,,,,,,,1.0,,465.p.32769
Carter Yakemchuk,D,OTT,929,0.00,,,,,,,,,,,,,,,,,,,,,,1.0,,465.p.32768
Adam Jecho,C,STL,930,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32774
Cayden Lindstrom,C,CBJ,931,0.00,,,,,,,,,,,,,,,,,,,,,,1.0,,465.p.32767
Trevor Connelly,LW,VGK,932,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32765
James Reimer,G,TOR,933,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.4369
Colby Barlow,LW,WPG,934,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30566
Brayden Yager,C,WPG,935,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30560
Kevin Gravel,D,NSH,936,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5121
Cade Webber,D,TOR,937,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30933
Liam Greentree,RW,LA,938,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32770
Tyler Johnson,C,BOS,939,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5256
Milan Lucic,LW,STL,940,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.4306
Dylan Duke,LW,TB,941,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30904
Georgii Romanov,G,NJ,942,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.31045
Ethan Edwards,D,NJ,943,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30973
Kevin Connauton,D,UTA,944,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.4892
Michael Sgarbossa,C,WSH,945,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5203
Alex Pietrangelo,D,VGK,946,0.00,,,,,,,,,,,,,,,,,,,,,,1.0,,465.p.4474
Tij Iginla,C,UTA,947,0.00,,,,,,,,,,,,,,,,,,,,,,1.0,,465.p.32772
Riley Duran,C,BOS,948,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30878
David Reinbacher,D,MTL,949,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30554
Nikolai Kovalenko,"LW,RW",SJ,950,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30831
Jon Merrill,D,MIN,951,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5011
Jesper Fast,"C,RW",CAR,952,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5130
Ty Murchison,D,PHI,953,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.31758
Dustin Tokarski,G,CAR,954,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.4596
Matthew Andonovski,D,OTT,955,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30699
Ty Mueller,C,VAN,956,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30632
Matt Stienburg,C,COL,957,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30948
Calvin de Haan,D,NYR,958,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.4692
Luca Cagnoni,D,SJ,959,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30662
John Farinacci,C,BOS,960,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30963
Nikita Quapp,G,CAR,961,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.31873
Jacob Julien,C,WPG,962,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30723
Connor Levis,RW,WPG,963,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30708
Noah Chadwick,D,TOR,964,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30671
Nikolas Brouillard,D,ANA,965,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30737
Ales Stezka,G,SEA,966,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.31742
Jani Hakanpaa,D,TOR,967,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5077
Cameron Allen,D,WSH,968,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30694
Niklas Kokko,G,SEA,969,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.31771
Matt Martin,LW,NYI,970,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.4754
David Savard,D,MTL,971,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.4953
TJ Brodie,D,CHI,972,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.4732
Jack Campbell,G,DET,973,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.4971
Cam Lund,C,SJ,974,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.31586
Zach Nehring,RW,WPG,975,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30619
Ryan McAllister,C,FLA,976,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.31118
Miko Matikka,RW,UTA,977,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32749
Zac Funk,RW,WSH,978,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32758
Louis Domingue,G,NYR,979,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5111
Kirill Gerasimyuk,G,FLA,980,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.31763
Chris Wagner,RW,STL,981,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5095
Garrett Brown,D,WPG,982,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32756
Tomas Tatar,LW,NJ,983,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.4792
Carter Mazur,LW,DET,984,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.31172
Daniil Misyul,D,NJ,985,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.31180
Patrik Koch,D,UTA,986,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.31276
Austin Watson,LW,DET,987,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.4978
Aydar Suniev,LW,CGY,988,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30603
Coulson Pitre,RW,ANA,989,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30610
Devin Kaplan,RW,PHI,990,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30757
Connor Murphy,G,CGY,991,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.31437
Quinton Burns,D,STL,992,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30615
Justin Holl,D,DET,993,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5027
Jarred Tinordi,D,CGY,994,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.4982
Ludvig Jansson,D,FLA,995,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32588
Ryan Ellis,D,PHI,996,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.4691
Quentin Musty,LW,SJ,997,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.30572
Ryan Suter,D,STL,998,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.3345
Terik Parascak,RW,WSH,999,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32776
Cole Reschny,C,CGY,1000,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33458
Malcolm Spencer,LW,NYR,1001,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33444
Lasse Boelius,D,ANA,1002,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33446
Malte Vass,D,CBJ,1003,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33447
Justin Carbonneau,RW,STL,1004,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33449
Theo Stockselius,C,CGY,1005,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33452
Artem Gonchar,D,NYR,1006,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33454
Henry Brzustewicz,D,LA,1007,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33455
Sascha Boumedienne,D,WPG,1008,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33456
Daniil Prokhorov,RW,NYI,1009,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33457
William Horcoff,C,PIT,1010,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33459
Marc-Edouard Vlasic,D,SJ,1011,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.3829
Cameron Reid,D,NSH,1012,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33460
Blake Fiddler,D,SEA,1013,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33461
William Moore,C,BOS,1014,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33462
Mason West,C,CHI,1015,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33463
Ryker Lee,RW,NSH,1016,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33464
Jack Murtagh,LW,PHI,1017,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33465
Stepan Hoch,LW,UTA,1018,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33468
Liam Pettersson,D,BOS,1019,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33473
Peyton Kettles,D,PIT,1020,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33477
Cole McKinney,C,SJ,1021,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33478
Cullen Potter,C,CGY,1022,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33442
Lynden Lakovic,LW,WSH,1023,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33440
Max Psenicka,D,UTA,1024,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33481
Alexander Zharovsky,RW,MTL,1025,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33426
Harrison Scott,LW,DAL,1026,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33405
Caleb Desnoyers,C,UTA,1027,0.00,,,,,,,,,,,,,,,,,,,,,,1.0,,465.p.33416
Radim Mrtka,D,BUF,1028,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33417
Roger McQueen,C,ANA,1029,0.00,,,,,,,,,,,,,,,,,,,,,,1.0,,465.p.33418
Carter Bear,LW,DET,1030,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33419
Jake O'Brien,C,SEA,1031,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33421
Kashawn Aitcheson,D,NYI,1032,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33422
Erik Johnson,D,COL,1033,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.3979
James Hagens,C,BOS,1034,0.00,,,,,,,,,,,,,,,,,,,,,,2.0,,465.p.33424
Porter Martone,RW,PHI,1035,0.00,,,,,,,,,,,,,,,,,,,,,,1.0,,465.p.33425
Vojtech Cihar,LW,LA,1036,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33427
Jack Nesbitt,C,PHI,1037,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33439
Anton Frondell,C,CHI,1038,0.00,,,,,,,,,,,,,,,,,,,,,,2.0,,465.p.33428
Milton Gastrin,C,WSH,1039,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33429
Victor Eklund,RW,NYI,1040,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33430
Eddie Genborg,RW,DET,1041,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33431
Eric Nilson,C,ANA,1042,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33432
Jackson Smith,D,CBJ,1043,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33434
Kurban Limatov,D,CAR,1044,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33435
Logan Hensler,D,OTT,1045,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33436
Theodor Hallquisth,D,MIN,1046,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33437
Jakob Ihs Wozniak,RW,VGK,1047,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33438
Matthew Gard,C,PHI,1048,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33480
Vaclav Nestrasil,RW,CHI,1049,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33482
Tyler Palmer,G,EDM,1050,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33392
Tinus Luc Koblar,C,TOR,1051,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33590
David Bedkowski,D,BUF,1052,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33544
Maceo Phillips,D,CGY,1053,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33546
Will Reynolds,D,SEA,1054,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33547
Sean Barnhill,D,NYR,1055,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33550
Cooper Simpson,LW,BOS,1056,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33556
Kieren Dervin,C,VAN,1057,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33559
Francesco Dell'Elce,D,COL,1058,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33560
Brady Peddle,D,PIT,1059,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33566
Bryce Pickford,D,MTL,1060,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33578
Charlie Cerrato,C,CAR,1061,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33584
Simon Wang,D,SJ,1062,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33612
Teddy Mutryn,C,SJ,1063,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33541
Gabriel D'Aigle,G,PIT,1064,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33613
Arseni Radkov,G,MTL,1065,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33614
Noah Read,C,ANA,1066,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33615
Maxim Schafer,LW,WSH,1067,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33617
Blake Vanek,RW,OTT,1068,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33620
John Mooney,C,MTL,1069,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33622
Alexis Cournoyer,G,MTL,1070,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33633
Jack Johnson,D,MIN,1071,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.3777
Stanislav Berezhnoy,G,CHI,1072,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33679
Atro Leppänen,D,EDM,1073,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33748
Tommy Lafreniere,RW,EDM,1074,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33542
Mateo Nobert,C,VGK,1075,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33540
Hayden Paupanekis,C,MTL,1076,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33483
Ethan Czata,C,TB,1077,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33514
Shane Vansaghi,RW,PHI,1078,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33484
Ivan Ryabkin,C,CAR,1079,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33485
Bill Zonnon,RW,PIT,1080,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33486
Roman Bausov,D,CAR,1081,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33494
Jack Ivankovic,G,NSH,1082,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33498
Joshua Ravensbergen,G,SJ,1083,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33499
Michal Pradel,G,DET,1084,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33502
Alexei Medvedev,G,VAN,1085,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33503
Semyon Frolov,G,CAR,1086,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33506
Pyotr Andreyanov,G,CBJ,1087,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33508
Jacob Rombach,D,NSH,1088,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33515
Tyler Hopkins,C,TOR,1089,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33538
Luca Romano,C,NYI,1090,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33517
Conrad Fondrk,C,NJ,1091,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33518
Kristian Epperson,LW,LA,1092,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33519
Carter Amico,D,PHI,1093,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33520
Nathan Behm,RW,CHI,1094,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33521
Charlton Trethewey,D,PIT,1095,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33522
Cameron Schmidt,RW,DAL,1096,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33523
Mason Moe,C,NJ,1097,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33534
Owen Martin,C,WPG,1098,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33535
Ben Kevan,RW,NJ,1099,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33537
Karsen Dorwart,LW,PHI,1100,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33402
Viliam Kmec,D,VGK,1101,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33334
Michael Hage,C,MTL,1102,0.00,,,,,,,,,,,,,,,,,,,,,,1.0,,465.p.32777
Sam O'Reilly,RW,TB,1103,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32832
Marek Vanacker,LW,CHI,1104,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32819
Tyson Barrie,D,CGY,1105,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.5281
Cole Beaudoin,C,UTA,1106,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32822
Kamil Bednarik,C,NYI,1107,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32823
Ben Danford,D,TOR,1108,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32825
Henry Mews,D,CGY,1109,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32826
Luca Marrelli,D,CBJ,1110,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32827
Tanner Howe,LW,PIT,1111,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32828
EJ Emery,D,NYR,1112,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32831
Eriks Mateiko,LW,WSH,1113,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32833
Spencer Gill,D,PHI,1114,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32816
Carter George,G,LA,1115,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32835
Mikhail Yegorov,G,NJ,1116,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32838
Evan Gardner,G,CBJ,1117,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32840
Samuel Hlavaj,G,MIN,1118,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32852
Ilya Nabokov,G,COL,1119,0.00,,,,,,,,,,,,,,,,,,,,,,1.0,,465.p.32854
Eemil Vinni,G,EDM,1120,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32858
Pavel Moysevich,G,VGK,1121,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32859
Kim Saarinen,G,SEA,1122,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32860
Juha Jaaska,LW,CAR,1123,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32865
Mikulas Hovorka,D,FLA,1124,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32867
Maxim Masse,RW,ANA,1125,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32817
Miguel Marques,RW,NSH,1126,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32814
Stian Solberg,D,ANA,1127,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32869
Anton Silayev,D,NJ,1128,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32793
Ryder Ritchie,RW,MIN,1129,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32778
Max Pacioretty,LW,TOR,1130,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.4261
Dean Letourneau,C,BOS,1131,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32780
Sacha Boisvert,C,CHI,1132,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32781
Andrew Basha,LW,CGY,1133,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32782
Emil Hemming,RW,DAL,1134,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32787
Konsta Helenius,C,BUF,1135,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32788
Matvei Shuravin,D,FLA,1136,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32789
Cal Clutterbuck,RW,NYI,1137,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.4194
Adam Jiricek,D,STL,1138,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32792
Leo Sahlin Wallenius,D,SJ,1139,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32795
Semyon Varlamov,G,NYI,1140,0.00,,,,,,,,,,,,,,,,,,,,,,1.0,,465.p.4003
Dominik Badinka,D,CAR,1141,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32796
Leon Muggli,D,WSH,1142,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32797
Nikita Artamonov,LW,CAR,1143,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32798
Lucas Pettersson,C,ANA,1144,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32799
Jesse Pulkkinen,D,NYI,1145,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32800
Linus Eriksson,C,FLA,1146,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32802
Egor Surin,C,NSH,1147,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32803
Veeti Vaisanen,D,UTA,1148,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32804
Cooper Black,G,FLA,1149,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32809
Victor Ostman,G,SEA,1150,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32810
Gabriel Eliasson,D,OTT,1151,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32868
Ondrej Kos,LW,STL,1152,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32870
Kai Uchacz,C,VGK,1153,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33333
Jere Innala,LW,COL,1154,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33170
Alexis Bernier,D,SEA,1155,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32936
Jack Pridham,RW,CHI,1156,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32940
Ondrej Becher,C,DET,1157,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32942
AJ Spellacy,RW,CHI,1158,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32944
Loke Johansson,D,BOS,1159,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32957
Noel Fransen,D,CAR,1160,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32960
Lucas Ellinas,"C,LW",OTT,1161,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32980
Trevor Lewis,C,LA,1162,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.3990
Logan Sawyer,C,MTL,1163,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33063
Connor Hughes,G,MTL,1164,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33089
Cole Davis,LW,LA,1165,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33180
Teddy Stiga,C,NSH,1166,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.32934
Kirill Zarubin,G,CGY,1167,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33192
Hunter St. Martin,LW,FLA,1168,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33203
Nikita Prishchepov,C,COL,1169,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33214
Patrick Geary,D,BUF,1170,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33218
Jack Williams,RW,CBJ,1171,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33231
Carson Golder,LW,WPG,1172,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33234
Dylan Anhorn,D,WPG,1173,0.00,,,,,,,,,,,,,,,,,,,,,,,,465.p.33243
