Player,Pos,Team,Rank,Fan Pts,Cur Team,Owner,Draft Team,Draft Owner,Rd,Pick,ADP,% Draft,GP,G,A,P,PIM,SOG,HIT,BLK,W,SV,SV%,GA,SO,% Own,Fan Pts/GP,ID
Scott Laughton,"C,LW",TOR,557,60.50,,,,,,,,,26,5,2,7,6,33,47,20,,,,,,3.0,2.33,465.p.5700
Brandon Tanev,"LW,RW",UTA,558,60.35,,,,,,,,,32,0,2,2,19,22,89,18,,,,,,1.0,1.89,465.p.7083
Reilly Smith,RW,VGK,559,60.10,,,,,,,,,39,8,5,13,2,43,13,8,,,,,,2.0,1.54,465.p.5639
Conor Sheary,LW,NYR,560,59.80,,,,,,,,,37,1,8,9,8,55,17,25,,,,,,,1.62,465.p.6585
Erik Cernak,D,TB,561,59.75,,,,,,,175.4,0.0,24,0,4,4,23,14,52,49,,,,,,2.0,2.49,465.p.6785
Lian Bichsel,D,DAL,562,59.70,,,Ryan is Aho,Mitchell,12,157,152.9,0.8,26,1,2,3,22,9,85,24,,,,,,6.0,2.30,465.p.31800
Yegor Chinakhov,"LW,RW",PIT,563,59.30,,,,,,,,,34,5,4,9,6,44,33,10,,,,,,1.0,1.74,465.p.8661
Ian Moore,D,ANA,564,59.30,,,,,,,,,30,2,5,7,18,30,11,56,,,,,,,1.98,465.p.31617
Emil Andrae,D,PHI,565,59.20,,,,,,,,,32,1,9,10,12,26,34,28,,,,,,,1.85,465.p.30148
Carl Grundstrom,RW,PHI,566,59.00,,,,,,,,,17,7,1,8,8,24,50,11,,,,,,1.0,3.47,465.p.7165
Calum Ritchie,"C,RW",NYI,567,58.90,,,,,,,,,34,7,4,11,14,41,7,18,,,,,,1.0,1.73,465.p.30569
Jonas Johansson,G,TB,568,58.40,,,,,,,,,16,,,,,,,,9,387,0.894,46,0,4.0,3.65,465.p.6430
Anton Forsberg,G,LA,569,58.40,,,,,,,174.9,0.0,15,,,,,,,,7,387,0.900,43,1,6.0,3.89,465.p.5553
Alex Nedeljkovic,G,SJ,570,57.80,,,,,,,,,16,,,,,,,,7,479,0.890,59,0,3.0,3.61,465.p.6406
Gavin Brindley,"C,RW",COL,571,57.80,,,,,,,,,31,5,6,11,8,37,25,10,,,,,,,1.86,465.p.30578
