Player Name,Position,NHL Team,Fantasy Points,Current Team,Current Owner,Drafted Team,Drafted By,Draft Round,Draft Pick,ADP,Pct Drafted,Games Played,Goals,Assists,Points,PIM,SOG,Hits,Blocks,Wins,Saves,Save %,GA,Shutouts,Pct Owned
Mark Stone,RW,VGK,238.5,Bangers and Mash,conor,Bangers and Mash,conor,11,183,157.3,0.7,66.0,19.0,48.0,67.0,14.0,131.0,32.0,42.0,,,,,,77.0
Dustin Wolf,G,CGY,237.8,Papi,Nick,Montour’s Monsters,Eric,16,276,167.0,0.24,,,,,,,,,29.0,1409.0,0.9096191091026469,140.0,3.0,79.0
Cutter Gauthier,LW,ANA,236.6,PENS15 Club,Brad,Dzingel Berries,Connor Koester,15,269,171.1,0.13,82.0,20.0,24.0,44.0,20.0,190.0,68.0,51.0,,,,,,12.0
Colton Parayko,D,STL,236.4,,,66 Million Reasons,Cooper,10,176,173.1,0.24,64.0,16.0,20.0,36.0,8.0,125.0,92.0,149.0,,,,,,37.0
Alexis Lafreniere,"LW,RW",NYR,236.1,66 Million Reasons,Cooper,66 Million Reasons,Cooper,6,104,100.0,1.0,82.0,17.0,28.0,45.0,38.0,153.0,119.0,27.0,,,,,,48.0
Kris Letang,D,PIT,235.6,MasterSkaters,Aj,MasterSkaters,Aj,6,98,120.4,1.0,74.0,9.0,21.0,30.0,52.0,164.0,120.0,100.0,,,,,,68.0
Brett Howden,"C,LW",VGK,235.3,,,,,,,,,80.0,23.0,17.0,40.0,46.0,125.0,121.0,56.0,,,,,,5.0
Travis Sanheim,D,PHI,235.2,Papi,Nick,Papi,Nick,8,143,169.2,0.56,82.0,8.0,22.0,30.0,40.0,139.0,84.0,170.0,,,,,,53.0
Keegan Kolesar,RW,VGK,234.85,MasterSkaters,Aj,,,,,,,82.0,12.0,18.0,30.0,53.0,88.0,237.0,49.0,,,,,,5.0
Dougie Hamilton,D,NJ,234.5,,,Papi,Nick,4,71,63.8,1.0,64.0,9.0,31.0,40.0,30.0,186.0,74.0,85.0,,,,,,59.0
Jason Zucker,LW,BUF,234.45,66 Million Reasons,Cooper,,,,,183.6,0.06,73.0,21.0,32.0,53.0,57.0,143.0,68.0,22.0,,,,,,20.0
Anze Kopitar,C,LA,234.4,Bangers and Mash,conor,Bangers and Mash,conor,9,147,156.0,0.64,81.0,21.0,46.0,67.0,4.0,98.0,31.0,67.0,,,,,,71.0
Neal Pionk,D,WPG,234.2,No Ragretzky,Ross,No Ragretzky,Ross,8,130,159.9,0.91,69.0,10.0,29.0,39.0,44.0,123.0,114.0,101.0,,,,,,55.0
Sergei Bobrovsky,G,FLA,233.4,Ice Ice Baby,David,Ice Ice Baby,David,4,65,40.3,1.0,,,,,,,,,33.0,1247.0,0.90559186637618,130.0,5.0,96.0
Nino Niederreiter,"LW,RW",WPG,233.4,,,,,,,167.1,0.02,82.0,17.0,20.0,37.0,24.0,150.0,152.0,39.0,,,,,,16.0
Kyle Palmieri,RW,NYI,233.4,Dartmouth Mustard Tigers 🌭🐅,Cameron,Dartmouth Mustard Tigers 🌭🐅,Cameron,12,208,178.0,0.07,82.0,24.0,24.0,48.0,20.0,169.0,54.0,48.0,,,,,,19.0
Gabriel Vilardi,"C,RW",WPG,232.9,William Marners,cam,William Marners,cam,14,237,166.3,0.62,71.0,27.0,34.0,61.0,14.0,130.0,21.0,50.0,,,,,,40.0
Nick Foligno,"C,LW",CHI,232.2,,,,,,,,,78.0,15.0,20.0,35.0,48.0,104.0,200.0,34.0,,,,,,3.0
Tyson Foerster,"C,LW,RW",PHI,231.65,,,DubJ,John,16,279,,,81.0,25.0,18.0,43.0,49.0,142.0,75.0,54.0,,,,,,10.0
Mike Matheson,D,MTL,231.55,MasterSkaters,Aj,MasterSkaters,Aj,4,62,124.5,1.0,80.0,6.0,25.0,31.0,51.0,149.0,60.0,168.0,,,,,,75.0
Brock Boeser,RW,VAN,231.0,Hughes Cruise,Devon,Hughes Cruise,Devon,5,84,72.7,1.0,75.0,25.0,25.0,50.0,16.0,145.0,76.0,34.0,,,,,,69.0
Jean-Gabriel Pageau,"C,RW",NYI,230.55,PENS15 Club,Brad,,,,,,,79.0,14.0,28.0,42.0,23.0,120.0,140.0,57.0,,,,,,15.0
Ryan O'Reilly,C,NSH,230.2,Ice Ice Baby,David,Ice Ice Baby,David,10,173,162.5,0.51,79.0,21.0,32.0,53.0,24.0,151.0,20.0,72.0,,,,,,34.0
Patrick Kane,RW,DET,228.8,Stammer Time,Johnathan,Bangers and Mash,conor,6,106,110.0,1.0,72.0,21.0,38.0,59.0,12.0,175.0,19.0,23.0,,,,,,73.0
Pavel Buchnevich,"C,LW,RW",STL,228.15,,,Strome Alone,Ryan,7,126,153.6,0.97,76.0,20.0,37.0,57.0,23.0,145.0,44.0,32.0,,,,,,43.0
Ivan Barbashev,"C,LW",VGK,226.7,Dartmouth Mustard Tigers 🌭🐅,Cameron,Dartmouth Mustard Tigers 🌭🐅,Cameron,13,225,167.9,0.12,70.0,23.0,28.0,51.0,10.0,111.0,104.0,33.0,,,,,,31.0
Cole Perfetti,"C,LW,RW",WPG,226.6,Dzingel Berries,Connor Koester,Dzingel Berries,Connor Koester,14,236,166.6,0.06,82.0,18.0,32.0,50.0,20.0,143.0,71.0,45.0,,,,,,27.0
Bobby McMann,LW,TOR,225.95,Strome Alone,Ryan,Papi,Nick,15,254,,,74.0,20.0,14.0,34.0,27.0,169.0,136.0,23.0,,,,,,9.0
Scott Laughton,"C,LW",TOR,225.8,,,,,,,,,80.0,13.0,18.0,31.0,32.0,125.0,178.0,54.0,,,,,,4.0
Garnet Hathaway,RW,PHI,225.7,,,PENS15 Club,Brad,14,252,176.4,0.04,67.0,10.0,11.0,21.0,58.0,80.0,257.0,61.0,,,,,,6.0
Troy Terry,"C,RW",ANA,225.6,DubJ,John,DubJ,John,11,190,172.1,0.05,77.0,21.0,34.0,55.0,20.0,188.0,7.0,29.0,,,,,,21.0
Joey Daccord,G,SEA,225.6,Dzingel Berries,Connor Koester,Dzingel Berries,Connor Koester,16,272,145.0,0.95,,,,,,,,,27.0,1448.0,0.9055659787367104,151.0,2.0,67.0
Matt Coronato,RW,CGY,225.45,,,,,,,,,77.0,24.0,23.0,47.0,25.0,180.0,36.0,37.0,,,,,,10.0
Mats Zuccarello,RW,MIN,224.9,,,PENS15 Club,Brad,7,109,144.7,0.96,69.0,19.0,35.0,54.0,22.0,151.0,32.0,48.0,,,,,,48.0
Gustav Forsling,D,FLA,223.8,Goon Cave Mommies,Kyle,Goon Cave Mommies,Kyle,8,139,99.4,1.0,80.0,11.0,20.0,31.0,16.0,195.0,83.0,89.0,,,,,,77.0
Mason Marchment,LW,SEA,222.85,Papi,Nick,Papi,Nick,17,290,167.1,0.12,62.0,22.0,25.0,47.0,53.0,134.0,79.0,21.0,,,,,,35.0
Paul Cotter,"C,LW",NJ,222.3,,,,,,,,,79.0,16.0,6.0,22.0,62.0,90.0,245.0,32.0,,,,,,4.0
Adin Hill,G,VGK,221.4,Dartmouth Mustard Tigers 🌭🐅,Cameron,Dartmouth Mustard Tigers 🌭🐅,Cameron,9,153,91.4,1.0,,,,,,,,,32.0,1172.0,0.9064191802010828,121.0,4.0,85.0
Nathan Walker,LW,STL,221.35,,,,,,,,,73.0,8.0,8.0,16.0,63.0,72.0,281.0,61.0,,,,,,3.0
Josh Anderson,RW,MTL,221.1,,,,,,,,,81.0,15.0,12.0,27.0,90.0,109.0,176.0,39.0,,,,,,2.0
Seth Jones,D,FLA,220.1,DubJ,John,DubJ,John,8,135,154.4,0.95,63.0,9.0,27.0,36.0,22.0,129.0,96.0,109.0,,,,,,70.0
Vasily Podkolzin,"LW,RW",EDM,219.2,Strome Alone,Ryan,,,,,,,82.0,8.0,16.0,24.0,48.0,114.0,211.0,53.0,,,,,,2.0
Ryan Nugent-Hopkins,"C,LW",EDM,219.2,William Marners,cam,William Marners,cam,5,88,75.2,1.0,78.0,20.0,29.0,49.0,24.0,164.0,26.0,48.0,,,,,,74.0
