Player Name,Position,NHL Team,Fantasy Points,Current Team,Current Owner,Drafted Team,Drafted By,Draft Round,Draft Pick,ADP,Pct Drafted,Goals,Assists,Points,PIM,SOG,Hits,Blocks,Games Played,Wins,Saves,Save %,GA,Shutouts,Pct Owned
Alex Barre-Boulet,"C,RW",COL,24.6,Cam's Mustard Tigers,Cameron,,,,,,,,,,,,,,,,,,,,7.0
Kurtis Gabriel,RW,CHI,24.5,,,,,,,,,,,,,,,,,,,,,,
Carter Hutton,G,ARI,24.4,,,,,,,169.8,0.03,,,,,,,,,,,,,,3.0
Jack Johnson,D,MIN,23.7,,,,,,,,,,,,,,,,,,,,,,
Michael Amadio,C,OTT,23.7,,,,,,,,,,,,,,,,,,,,,,
Tyler Graovac,C,VAN,23.5,,,,,,,,,,,,,,,,,,,,,,1.0
Jack Studnicka,"C,RW",FLA,23.5,,,,,,,,,,,,,,,,,,,,,,1.0
Zac Dalpe,"C,RW",FLA,23.4,,,,,,,,,,,,,,,,,,,,,,
Matt Calvert,"LW,RW",COL,23.4,,,,,,,,,,,,,,,,,,,,,,
Slater Koekkoek,D,EDM,22.7,,,,,,,,,,,,,,,,,,,,,,
Spencer Knight,G,CHI,22.2,,,,,,,,,,,,,,,,,,,,,,10.0
Anthony Bitetto,D,NYR,22.2,,,,,,,,,,,,,,,,,,,,,,
Josh Mahura,D,SEA,22.2,,,,,,,,,,,,,,,,,,,,,,
Gustav Lindstrom,D,ANA,22.1,,,,,,,,,,,,,,,,,,,,,,
Ross Johnston,"LW,RW",ANA,22.1,,,,,,,,,,,,,,,,,,,,,,
Lucas Wallmark,C,CHI,21.8,,,,,,,,,,,,,,,,,,,,,,
Rasmus Sandin,D,WSH,21.8,,,,,,,,,,,,,,,,,,,,,,3.0
Vitali Kravtsov,RW,VAN,21.4,,,,,,,,,,,,,,,,,,,,,,2.0
Scott Harrington,D,OTT,21.3,,,,,,,,,,,,,,,,,,,,,,
Connor Carrick,D,EDM,21.2,,,,,,,,,,,,,,,,,,,,,,
Jack Rathbone,D,BUF,21.1,,,,,,,,,,,,,,,,,,,,,,1.0
Liam O'Brien,"C,LW",UTA,20.9,,,,,,,,,,,,,,,,,,,,,,
Gabriel Carlsson,D,WSH,20.8,,,,,,,,,,,,,,,,,,,,,,
Mark Friedman,D,VAN,20.5,,,,,,,,,,,,,,,,,,,,,,
Alex Biega,D,TOR,20.3,,,,,,,,,,,,,,,,,,,,,,
Collin Delia,G,EDM,20.0,,,,,,,,,,,,,,,,,,,,,,1.0
William Lagesson,D,DET,20.0,,,,,,,,,,,,,,,,,,,,,,
Connor Bunnaman,C,FLA,19.8,,,,,,,,,,,,,,,,,,,,,,
Dennis Cholowski,D,NJ,19.7,,,,,,,,,,,,,,,,,,,,,,
Mathias Brome,LW,DET,19.7,,,,,,,,,,,,,,,,,,,,,,
Dan Renouf,D,PIT,19.5,,,,,,,,,,,,,,,,,,,,,,
Joey Daccord,G,SEA,19.4,,,,,,,,,,,,,,,,,,,,,,
Austin Strand,D,NJ,19.0,,,,,,,,,,,,,,,,,,,,,,
Barrett Hayton,"C,LW",UTA,18.7,,,,,,,,,,,,,,,,,,,,,,1.0
Max McCormick,LW,SEA,18.7,,,,,,,,,,,,,,,,,,,,,,
Will Borgen,D,NYR,18.4,,,,,,,,,,,,,,,,,,,,,,
Jeremy Davies,D,VGK,18.3,,,,,,,,,,,,,,,,,,,,,,
Jacob de la Rose,"C,LW",STL,18.2,,,,,,,,,,,,,,,,,,,,,,
Zac Jones,D,BUF,18.2,,,,,,,,,,,,,,,,,,,,,,
Luke Johnson,C,MIN,18.1,,,,,,,,,,,,,,,,,,,,,,
Radim Zohorna,"C,LW",PIT,18.0,,,,,,,,,,,,,,,,,,,,,,
Grigori Denisenko,LW,VGK,17.7,,,,,,,,,,,,,,,,,,,,,,1.0
